,US-JP_2Y,US-AU_2Y,US-CA_2Y,US-EU_2Y,US-GB_2Y,US-JP_10Y,US-AU_10Y,US-CA_10Y,US-EU_10Y,US-GB_10Y,US-JP_CPI_YOY,US-AU_CPI_YOY,US-CA_CPI_YOY,US-EU_CPI_YOY,US-GB_CPI_YOY,VIX
1976-07-01,7.02,7.02,7.02,7.02,7.02,,-2.12,-1.4699999999999998,-2.28386,-5.680000000000001,-4.237272946933191,-8.28088409972192,-1.6362502044427796,,-7.2964704112512555,
1976-07-02,6.99,6.99,6.99,6.99,6.99,,-2.16,-1.5099999999999998,-2.32386,-5.720000000000001,-4.237272946933191,-8.28088409972192,-1.6362502044427796,,-7.2964704112512555,
1976-07-05,6.99,6.99,6.99,6.99,6.99,,-2.16,-1.5099999999999998,-2.32386,-5.720000000000001,-4.237272946933191,-8.28088409972192,-1.6362502044427796,,-7.2964704112512555,
1976-07-06,6.96,6.96,6.96,6.96,6.96,,-2.1799999999999997,-1.5299999999999994,-2.3438599999999994,-5.74,-4.237272946933191,-8.28088409972192,-1.6362502044427796,,-7.2964704112512555,
1976-07-07,6.99,6.99,6.99,6.99,6.99,,-2.16,-1.5099999999999998,-2.32386,-5.720000000000001,-4.237272946933191,-8.28088409972192,-1.6362502044427796,,-7.2964704112512555,
1976-07-08,6.92,6.92,6.92,6.92,6.92,,-2.1799999999999997,-1.5299999999999994,-2.3438599999999994,-5.74,-4.237272946933191,-8.28088409972192,-1.6362502044427796,,-7.2964704112512555,
1976-07-09,6.77,6.77,6.77,6.77,6.77,,-2.2199999999999998,-1.5699999999999994,-2.3838599999999994,-5.78,-4.237272946933191,-8.28088409972192,-1.6362502044427796,,-7.2964704112512555,
1976-07-12,6.72,6.72,6.72,6.72,6.72,,-2.24,-1.5899999999999999,-2.40386,-5.800000000000001,-4.237272946933191,-8.28088409972192,-1.6362502044427796,,-7.2964704112512555,
1976-07-13,6.74,6.74,6.74,6.74,6.74,,-2.2300000000000004,-1.58,-2.39386,-5.790000000000001,-4.237272946933191,-8.28088409972192,-1.6362502044427796,,-7.2964704112512555,
1976-07-14,6.76,6.76,6.76,6.76,6.76,,-2.21,-1.5599999999999996,-2.3738599999999996,-5.7700000000000005,-4.237272946933191,-8.28088409972192,-1.6362502044427796,,-7.2964704112512555,
1976-07-15,6.72,6.72,6.72,6.72,6.72,,-2.2300000000000004,-1.58,-2.39386,-5.790000000000001,-4.237272946933191,-8.28088409972192,-1.6362502044427796,,-7.2964704112512555,
1976-07-16,6.85,6.85,6.85,6.85,6.85,,-2.17,-1.5199999999999996,-2.3338599999999996,-5.73,-4.237272946933191,-8.28088409972192,-1.6362502044427796,,-7.2964704112512555,
1976-07-19,6.89,6.89,6.89,6.89,6.89,,-2.1399999999999997,-1.4899999999999993,-2.3038599999999994,-5.7,-4.237272946933191,-8.28088409972192,-1.6362502044427796,,-7.2964704112512555,
1976-07-20,6.91,6.91,6.91,6.91,6.91,,-2.13,-1.4799999999999995,-2.2938599999999996,-5.69,-4.237272946933191,-8.28088409972192,-1.6362502044427796,,-7.2964704112512555,
1976-07-21,6.9,6.9,6.9,6.9,6.9,,-2.1399999999999997,-1.4899999999999993,-2.3038599999999994,-5.7,-4.237272946933191,-8.28088409972192,-1.6362502044427796,,-7.2964704112512555,
1976-07-22,6.91,6.91,6.91,6.91,6.91,,-2.1399999999999997,-1.4899999999999993,-2.3038599999999994,-5.7,-4.237272946933191,-8.28088409972192,-1.6362502044427796,,-7.2964704112512555,
1976-07-23,6.9,6.9,6.9,6.9,6.9,,-2.16,-1.5099999999999998,-2.32386,-5.720000000000001,-4.237272946933191,-8.28088409972192,-1.6362502044427796,,-7.2964704112512555,
1976-07-26,6.86,6.86,6.86,6.86,6.86,,-2.13,-1.4799999999999995,-2.2938599999999996,-5.69,-4.237272946933191,-8.28088409972192,-1.6362502044427796,,-7.2964704112512555,
1976-07-27,6.76,6.76,6.76,6.76,6.76,,-2.1500000000000004,-1.5,-2.31386,-5.710000000000001,-4.237272946933191,-8.28088409972192,-1.6362502044427796,,-7.2964704112512555,
1976-07-28,6.79,6.79,6.79,6.79,6.79,,-2.1500000000000004,-1.5,-2.31386,-5.710000000000001,-4.237272946933191,-8.28088409972192,-1.6362502044427796,,-7.2964704112512555,
1976-07-29,6.75,6.75,6.75,6.75,6.75,,-2.1500000000000004,-1.5,-2.31386,-5.710000000000001,-4.237272946933191,-8.28088409972192,-1.6362502044427796,,-7.2964704112512555,
1976-07-30,6.74,6.74,6.74,6.74,6.74,,-2.1399999999999997,-1.4899999999999993,-2.3038599999999994,-5.7,-4.237272946933191,-8.28088409972192,-1.6362502044427796,,-7.2964704112512555,
1976-08-02,6.75,6.75,6.75,6.75,6.75,,-2.1500000000000004,-1.5,-2.31386,-5.710000000000001,-4.237272946933191,-8.28088409972192,-1.6362502044427796,,-7.2964704112512555,
1976-08-03,6.72,6.72,6.72,6.72,6.72,,-2.1799999999999997,-1.5299999999999994,-2.3438599999999994,-5.74,-4.237272946933191,-8.28088409972192,-1.6362502044427796,,-7.2964704112512555,
1976-08-04,6.73,6.73,6.73,6.73,6.73,,-2.1900000000000004,-1.54,-2.35386,-5.750000000000001,-4.237272946933191,-8.28088409972192,-1.6362502044427796,,-7.2964704112512555,
1976-08-05,6.74,6.74,6.74,6.74,6.74,,-2.1799999999999997,-1.5299999999999994,-2.3438599999999994,-5.74,-4.237272946933191,-8.28088409972192,-1.6362502044427796,,-7.2964704112512555,
1976-08-06,6.71,6.71,6.71,6.71,6.71,,-2.16,-1.5099999999999998,-2.32386,-5.720000000000001,-4.237272946933191,-8.28088409972192,-1.6362502044427796,,-7.2964704112512555,
1976-08-09,6.68,6.68,6.68,6.68,6.68,,-2.16,-1.5099999999999998,-2.32386,-5.720000000000001,-4.237272946933191,-8.28088409972192,-1.6362502044427796,,-7.2964704112512555,
1976-08-10,6.68,6.68,6.68,6.68,6.68,,-2.16,-1.5099999999999998,-2.32386,-5.720000000000001,-4.237272946933191,-8.28088409972192,-1.6362502044427796,,-7.2964704112512555,
1976-08-11,6.66,6.66,6.66,6.66,6.66,,-2.1799999999999997,-1.5299999999999994,-2.3438599999999994,-5.74,-4.237272946933191,-8.28088409972192,-1.6362502044427796,,-7.2964704112512555,
1976-08-12,6.64,6.64,6.64,6.64,6.64,,-2.1900000000000004,-1.54,-2.35386,-5.750000000000001,-4.237272946933191,-8.28088409972192,-1.6362502044427796,,-7.2964704112512555,
1976-08-13,6.6,6.6,6.6,6.6,6.6,,-2.2199999999999998,-1.5699999999999994,-2.3838599999999994,-5.78,-4.237272946933191,-8.28088409972192,-1.6362502044427796,,-7.2964704112512555,
1976-08-16,6.57,6.57,6.57,6.57,6.57,,-2.26,-1.6099999999999994,-2.4238599999999995,-5.82,-4.237272946933191,-8.28088409972192,-1.6362502044427796,,-7.2964704112512555,
1976-08-17,6.57,6.57,6.57,6.57,6.57,,-2.25,-1.5999999999999996,-2.4138599999999997,-5.8100000000000005,-4.237272946933191,-8.28088409972192,-1.6362502044427796,,-7.2964704112512555,
1976-08-18,6.59,6.59,6.59,6.59,6.59,,-2.24,-1.5899999999999999,-2.40386,-5.800000000000001,-4.237272946933191,-8.28088409972192,-1.6362502044427796,,-7.2964704112512555,
1976-08-19,6.61,6.61,6.61,6.61,6.61,,-2.24,-1.5899999999999999,-2.40386,-5.800000000000001,-4.237272946933191,-8.28088409972192,-1.6362502044427796,,-7.2964704112512555,
1976-08-20,6.68,6.68,6.68,6.68,6.68,,-2.24,-1.5899999999999999,-2.40386,-5.800000000000001,-4.237272946933191,-8.28088409972192,-1.6362502044427796,,-7.2964704112512555,
1976-08-23,6.62,6.62,6.62,6.62,6.62,,-2.2699999999999996,-1.6199999999999992,-2.4338599999999992,-5.83,-4.237272946933191,-8.28088409972192,-1.6362502044427796,,-7.2964704112512555,
1976-08-24,6.6,6.6,6.6,6.6,6.6,,-2.2800000000000002,-1.63,-2.44386,-5.840000000000001,-4.237272946933191,-8.28088409972192,-1.6362502044427796,,-7.2964704112512555,
1976-08-25,6.53,6.53,6.53,6.53,6.53,,-2.3099999999999996,-1.6599999999999993,-2.4738599999999993,-5.87,-4.237272946933191,-8.28088409972192,-1.6362502044427796,,-7.2964704112512555,
1976-08-26,6.54,6.54,6.54,6.54,6.54,,-2.3200000000000003,-1.67,-2.48386,-5.880000000000001,-4.237272946933191,-8.28088409972192,-1.6362502044427796,,-7.2964704112512555,
1976-08-27,6.6,6.6,6.6,6.6,6.6,,-2.2800000000000002,-1.63,-2.44386,-5.840000000000001,-4.237272946933191,-8.28088409972192,-1.6362502044427796,,-7.2964704112512555,
1976-08-30,6.57,6.57,6.57,6.57,6.57,,-2.29,-1.6399999999999997,-2.4538599999999997,-5.8500000000000005,-4.237272946933191,-8.28088409972192,-1.6362502044427796,,-7.2964704112512555,
1976-08-31,6.5,6.5,6.5,6.5,6.5,,-2.34,-1.6899999999999995,-2.5038599999999995,-5.9,-4.237272946933191,-8.28088409972192,-1.6362502044427796,,-7.2964704112512555,
1976-09-01,6.5,6.5,6.5,6.5,6.5,,-2.3500000000000005,-1.5000000000000009,-2.75514,-6.54,-4.302157869549904,-8.34193416077198,-0.9244353817464912,,-8.811529889297322,
1976-09-02,6.54,6.54,6.54,6.54,6.54,,-2.3200000000000003,-1.4700000000000006,-2.7251399999999997,-6.51,-4.302157869549904,-8.34193416077198,-0.9244353817464912,,-8.811529889297322,
1976-09-03,6.52,6.52,6.52,6.52,6.52,,-2.34,-1.4900000000000002,-2.7451399999999992,-6.529999999999999,-4.302157869549904,-8.34193416077198,-0.9244353817464912,,-8.811529889297322,
1976-09-06,6.52,6.52,6.52,6.52,6.52,,-2.34,-1.4900000000000002,-2.7451399999999992,-6.529999999999999,-4.302157869549904,-8.34193416077198,-0.9244353817464912,,-8.811529889297322,
